cmtcode         zSNR     zSNR     zSNR
C201608292241A  1.864    0.678    0.885
C201608300353A  1.678    0.795    0.892
C201608300809A  0.875    0.978    1.058
C201608301546A  0.998    0.958    1.197
C201608302004A  1.544    1.001    1.033
C201608310038A  1.533    0.888    0.691
C201608310132A  0.873    1.489    0.955
C201608310311A  5.036    1.234    1.097
C201608311046A  0.845    0.977    1.557
C201608311317A  0.514    0.988    0.654
C201608312133A  0.720    0.843    1.056
C201608312204A  1.727    1.113    0.827
C201609010314A  1.417    1.088    0.956
C201609010600A  0.718    1.184    1.814
C201609010855A  1.258    0.878    0.878
C201609011014A  1.622    1.498    1.836
C201609011109A  1.032    0.939    2.010
C201609011637A  78.192   9.053    11.119
C201609011918A  0.243    0.677    0.756
C201609012004A  1.021    1.206    1.305
C201609012006A  0.969    0.886    1.377
C201609020157A  1.702    1.129    0.591
C201609020648A  0.762    0.949    0.972
C201609020839A  1.997    1.064    0.981
C201609020840A  1.167    1.144    1.131
C201609021123A  2.300    1.091    1.324
C201609021202A  0.818    1.177    1.506
C201609021329A  1.638    1.289    0.997
C201609021357A  1.612    0.854    1.212
C201609021638A  0.556    0.963    1.118
C201609021728A  1.306    0.926    0.885
C201609030327A  2.765    1.266    0.945
C201609030430A  0.953    1.058    1.176
C201609030458A  1.196    1.023    0.914
C201609030655A  1.999    1.242    1.051
C201609030818A  0.668    0.899    0.723
C201609031202A  50.132   122.364  244.608
C201609031330A  0.818    1.176    1.290
C201609031404A  1.007    1.292    1.159
C201609032206A  0.981    1.239    1.150
C201609040238A  1.588    1.033    0.992
C201609040619A  0.761    0.766    0.826
C201609041540A  0.955    1.221    0.857
C201609041905A  0.965    0.841    0.742
C201609042000A  1.215    1.383    1.673
C201609042114A  0.696    1.264    0.848
C201609050235A  1.280    0.660    0.607
C201609050246A  0.807    0.965    0.810
C201609050542A  1.189    1.126    1.065
C201609050614A  0.560    0.832    1.167
C201609051518A  2.013    0.768    0.919
C201609051701A  1.557    0.978    1.012
C201609051957A  1.347    0.999    1.671
C201609052006A  2.509    1.279    0.948
C201609052010A  1.177    0.931    1.372
C201609052254A  7.041    1.039    0.916
C201609060413A  1.599    0.868    1.106
C201609060737A  0.948    0.762    0.868
C201609061207A  1.195    0.777    0.663
C201609061817A  1.734    1.002    0.885
C201609070136A  1.427    0.762    0.762
C201609070428A  0.827    1.024    1.256
C201609070520A  0.563    0.807    0.661
C201609070556A  1.264    0.722    1.108
C201609070942A  0.791    0.897    1.095
C201609071432A  0.747    1.639    3.099
C201609072003A  1.628    0.916    0.791
C201609072007A  1.053    0.809    0.927
C201609072047A  0.874    0.836    0.756
C201609080234A  0.831    1.085    0.831
C201609081015A  1.145    1.181    0.777
C201609081100A  0.550    0.835    0.913
C201609081213A  0.709    1.011    0.929
C201609082146A  5.040    1.422    0.872
C201609090003A  0.907    0.865    0.998
C201609091153A  0.890    1.361    1.571
C201609091717A  4.595    1.546    1.956
C201609100025A  1.032    0.728    1.882
C201609100046A  0.966    0.858    0.974
C201609100249A  0.712    1.113    1.224
C201609100630A  2.300    0.902    0.844
C201609100700A  1.110    1.238    1.108
C201609101008A  4.664    1.358    2.195
C201609101227A  1.814    0.999    1.177
C201609101608A  0.734    1.062    1.077
C201609101629A  1.445    1.098    1.105
C201609102054A  0.606    1.047    0.977
C201609110508A  1.691    0.884    0.841
C201609111310A  1.041    1.071    1.139
C201609120651A  2.186    1.151    1.217
C201609120826A  1.199    0.826    0.731
C201609121044A  1.839    1.235    0.897
C201609121132A  1.366    1.022    1.415
C201609121510A  2.667    0.774    0.581
C201609121700A  0.806    1.069    0.875
C201609121725A  0.433    0.858    1.086
C201609131012A  0.722    1.136    1.067
C201609131051A  1.243    1.276    1.195
C201609140158A  7.827    1.452    1.174
C201609140724A  4.867    0.839    0.954
C201609140918A  1.134    0.924    0.739
C201609141420A  1.500    0.890    1.458
C201609141609A  1.096    1.112    1.177
C201609141803A  1.204    1.455    1.446
C201609150230A  0.720    1.160    1.037
C201609150249A  0.821    0.742    0.725
C201609150557A  6.212    1.065    0.825
C201609151346A  1.034    0.793    0.956
C201609151945A  0.788    1.004    1.076
C201609152048A  0.915    0.950    0.993
C201609152337A  1.731    1.039    1.387
C201609160213A  0.363    0.577    0.472
C201609160238A  1.734    1.209    1.319
C201609160750A  0.795    1.134    0.929
C201609160822A  1.349    0.955    1.296
C201609161204A  1.563    1.056    0.962
C201609161550A  1.691    1.115    0.973
C201609161838A  1.252    1.114    0.768
C201609161946A  1.607    1.075    2.303
C201609170120A  4.711    0.758    0.988
C201609170206A  1.099    0.531    0.745
C201609170230A  0.437    0.936    0.943
C201609170231A  0.616    0.673    0.925
C201609170735A  2.302    0.818    1.385
C201609171434A  0.490    1.378    0.998
C201609171627A  0.918    1.216    0.759
C201609171800A  NaN      NaN      NaN
C201609172000A  1.126    0.801    0.733
C201609172239A  NaN      NaN      NaN
C201609172245A  1.759    0.935    1.193
C201609180053A  NaN      NaN      NaN
C201609180717A  NaN      NaN      NaN
C201609181102A  NaN      NaN      NaN
C201609181432A  NaN      NaN      NaN
C201609182103A  NaN      NaN      NaN
C201609192215A  0.515    1.095    1.042
C201609200131A  1.899    0.964    0.964
C201609200718A  1.062    1.113    1.298
C201609201310A  1.848    0.792    1.230
C201609201324A  1.645    0.989    1.678
C201609201621A  3.673    1.215    1.018
C201609210005A  0.966    1.485    1.887
C201609210038A  0.938    1.114    0.913
C201609210108A  1.147    1.210    1.012
C201609210220A  1.422    1.121    1.091
C201609210544A  0.429    1.115    0.743
C201609210719A  0.492    0.733    0.873
C201609211619A  0.989    0.972    1.811
C201609211926A  0.771    0.912    1.289
C201609220848A  2.172    1.089    1.754
C201609221042A  0.806    1.257    0.956
C201609221105A  0.899    0.911    1.056
C201609221556B  1.091    0.883    0.563
C201609221607A  2.456    1.945    0.885
C201609221647A  0.828    0.936    1.689
C201609221723A  0.913    1.182    0.820
C201609222006A  1.625    0.974    0.993
C201609222032A  1.306    0.782    0.712
C201609230014A  7.433    1.959    2.660
C201609230256A  0.377    1.097    0.561
C201609230335B  0.653    1.272    0.780
C201609230509A  1.057    1.078    0.776
C201609230534A  0.655    1.314    1.103
C201609230556A  0.714    0.913    1.119
C201609230613A  1.594    1.050    1.623
C201609230736A  0.723    1.429    0.935
C201609230754A  0.874    1.081    0.858
C201609230859A  0.930    0.900    0.950
C201609231027A  0.754    1.078    0.905
C201609231505A  1.228    1.492    1.791
C201609231611A  1.019    1.060    1.676
C201609232227A  1.523    1.316    0.826
C201609232253A  4.162    1.034    1.260
C201609232311A  0.910    0.956    0.343
C201609240132A  2.219    0.943    1.591
C201609240402A  1.978    1.233    0.996
C201609240426A  1.190    1.037    0.845
C201609240442A  0.987    0.976    0.957
C201609240539A  1.524    1.275    1.511
C201609240750A  0.729    1.046    0.858
C201609240941A  NaN      NaN      NaN
C201609241020A  1.742    1.162    1.139
C201609241104A  8.530    0.952    0.856
C201609241109A  4.915    1.202    1.956
C201609241127A  0.726    0.713    1.069
C201609241542A  0.635    0.954    1.101
C201609241715A  0.614    0.877    0.594
C201609242027A  NaN      NaN      NaN
C201609242107A  4.022    1.777    1.180
C201609242128A  3.515    1.454    2.895
C201609250428A  1.652    1.333    1.400
C201609250501A  1.430    0.606    0.389
C201609251824A  NaN      NaN      NaN
C201609260040A  1.776    0.949    0.876
C201609260224A  NaN      NaN      NaN
C201609260519A  NaN      NaN      NaN
C201609261119A  1.570    0.742    1.293
C201609261852A  0.911    0.824    0.837
C201609261904A  NaN      NaN      NaN
C201609261939A  NaN      NaN      NaN
C201609262015A  NaN      NaN      NaN
C201609262030A  NaN      NaN      NaN
C201609262045A  NaN      NaN      NaN
C201609270754A  NaN      NaN      NaN
C201609270801A  NaN      NaN      NaN
C201609271040A  NaN      NaN      NaN
C201609271249A  NaN      NaN      NaN
C201609271534A  NaN      NaN      NaN
C201609272004A  0.665    0.885    1.215
C201609272057A  NaN      NaN      NaN
C201609280717A  NaN      NaN      NaN
C201609280938A  2.773    1.254    1.572
C201609280941A  2.499    1.662    1.534
C201609281250A  NaN      NaN      NaN
C201609281616A  2.236    0.924    1.182
C201609281648A  2.982    1.059    0.742
C201609282212A  0.934    1.165    0.776
C201609290021A  NaN      NaN      NaN
C201609290134A  1.041    1.199    1.149
C201609290855A  1.305    1.195    1.101
C201609291132A  0.878    1.233    0.965
C201609291137A  0.696    0.761    0.922
C201609292023A  2.457    1.120    0.621
C201609292321A  0.642    0.867    1.035
C201609300527A  1.035    0.809    0.872
C201609301148A  0.990    0.759    0.934
C201609301645A  1.242    1.328    1.174
C201609302245A  1.247    0.978    1.186
C201609302306A  1.792    1.349    1.419
C201610010033A  3.680    1.211    0.873
C201610010233A  0.519    1.120    1.251
C201610010439A  2.096    0.935    0.931
C201610010804A  1.564    1.063    1.054
C201610010937A  0.779    1.025    1.057
C201610011025A  0.593    1.104    1.048
C201610011317A  1.052    0.868    1.177
C201610011952A  1.044    0.982    1.146
C201610012207A  0.945    1.359    1.176
C201610020150A  1.599    1.088    0.614
C201610021251A  0.994    1.286    1.054
C201610021340A  0.703    1.129    0.979
C201610022059A  1.252    1.082    1.208
C201610031533A  2.076    0.985    0.823
C201610031807A  1.616    1.137    0.719
C201610041213A  0.777    0.709    0.718
C201610041400A  1.153    1.064    1.269
C201610050329A  1.461    0.899    0.934
C201610050840A  0.856    0.986    0.963
C201610050909A  1.439    1.124    1.051
C201610050958A  0.687    0.882    0.975
C201610051224A  0.232    0.447    0.173
C201610051606A  0.739    0.983    0.918
C201610051847A  0.926    1.066    0.982
C201610052053A  2.563    1.049    0.788
C201610060025A  0.750    1.193    0.695
C201610060947A  0.363    0.945    0.773
C201610061109A  1.708    0.987    1.687
C201610061551A  0.613    1.592    0.707
C201610062057A  2.168    1.141    0.480
C201610062117A  1.337    1.026    1.101
C201610071129A  1.042    1.121    1.607
C201610071218A  1.510    1.025    2.955
C201610080202A  0.873    1.334    1.138
C201610080429A  1.257    1.053    0.861
C201610080437A  1.975    1.128    1.129
C201610080732A  0.866    0.779    0.964
C201610081810A  1.341    0.808    1.161
C201610081941A  1.910    1.191    1.386
C201610082225A  1.581    0.915    1.551
C201610091039A  1.855    1.464    2.520
C201610091246A  0.999    1.369    1.266
C201610091248A  0.741    1.085    1.225
C201610091446A  0.890    1.003    0.795
C201610091648A  1.110    1.315    1.163
C201610091851A  1.380    1.285    1.045
C201610091908A  1.424    1.148    1.100
C201610092323A  0.823    0.910    1.683
C201610100835A  1.448    1.122    0.850
C201610100946A  1.464    1.717    0.987
C201610101042A  1.053    0.832    0.903
C201610101316A  0.850    1.212    0.675
C201610101503A  0.659    0.820    0.853
C201610110201A  1.022    0.862    1.096
C201610110235A  1.395    0.935    1.923
C201610110504A  0.987    0.700    0.664
C201610110528A  0.864    0.911    0.634
C201610111902A  0.878    0.858    0.800
C201610112230A  0.486    0.896    0.936
C201610112329A  NaN      NaN      NaN
C201610120139A  1.112    0.728    0.655
C201610120321A  0.790    0.782    0.974
C201610121039A  2.680    1.354    1.851
C201610121617A  0.530    1.368    2.339
C201610122032A  0.620    0.915    0.795
C201610130355A  4.599    3.588    2.114
C201610131438A  0.690    1.093    1.082
C201610131619A  0.962    0.986    1.289
C201610132018A  0.496    1.184    0.878
C201610132040A  1.885    1.452    0.651
C201610132313A  0.906    1.405    1.469
C201610140047A  1.344    0.924    0.632
C201610141215A  2.222    0.808    0.915
C201610141829A  0.906    0.742    0.902
C201610142130A  0.562    1.022    0.765
C201610150803A  1.987    0.857    1.066
C201610150818A  1.132    0.779    2.068
C201610152014A  2.031    1.298    1.249
C201610160009A  0.768    1.274    1.155
C201610160041A  1.667    1.063    0.771
C201610160123A  0.787    0.986    0.887
C201610160221A  0.693    0.999    0.968
C201610160340A  0.726    1.093    1.033
C201610160737A  1.082    1.019    1.100
C201610161304A  0.796    0.738    0.842
C201610162022A  NaN      NaN      NaN
C201610170614A  27.959   8.317    12.445
C201610170714A  0.683    1.499    3.238
C201610171804A  2.051    0.776    0.743
C201610171816A  0.945    0.968    0.932
C201610172240A  1.169    0.812    1.017
C201610180426A  1.581    1.298    0.781
C201610180751A  1.070    1.163    0.804
C201610181308A  0.829    0.737    1.192
C201610181636A  1.338    1.305    1.173
C201610182208A  1.353    1.094    1.181
C201610190026A  1.793    0.691    0.611
C201610200009A  3.301    1.090    3.126
C201610200040A  0.446    1.177    1.038
C201610200249A  0.691    1.051    0.931
C201610200453A  1.501    0.945    1.014
C201610200625A  2.253    1.927    0.632
C201610201123A  1.039    0.778    0.840
C201610201510A  0.709    1.362    1.601
C201610201521A  1.055    0.980    0.671
C201610202050A  0.702    0.746    1.024
C201610210507B  6.934    1.194    1.002
C201610210844A  0.718    1.089    0.576
C201610211610A  1.421    0.931    0.937
C201610211632A  0.569    0.922    1.080
C201610211641A  1.407    1.177    1.456
C201610211838A  1.348    0.763    1.457
C201610211951A  0.557    1.184    0.697
C201610220200A  1.004    1.080    0.887
C201610221642A  0.884    1.520    1.288
C201610221749A  0.813    0.676    0.737
C201610221847A  1.091    0.818    0.935
C201610222231A  0.911    1.042    1.411
C201610230726A  0.732    0.799    1.081
C201610231515A  0.569    0.550    0.738
C201610232025A  1.632    0.961    1.132
C201610232215A  1.050    1.207    0.930
C201610232259A  1.328    1.036    1.148
C201610240155A  1.667    0.719    0.694
C201610242052A  0.714    0.711    1.191
C201610250445A  0.968    1.247    2.334
C201610250718A  0.946    1.139    0.983
C201610250853A  1.166    0.844    1.026
C201610251045A  1.774    1.484    0.970
C201610251146A  0.968    0.637    0.798
C201610251610A  NaN      NaN      NaN
C201610251622B  NaN      NaN      NaN
C201610251652A  NaN      NaN      NaN
C201610251815A  NaN      NaN      NaN
C201610260221A  NaN      NaN      NaN
C201610260519A  NaN      NaN      NaN
C201610261415A  NaN      NaN      NaN
C201610261710A  NaN      NaN      NaN
C201610261916A  NaN      NaN      NaN
C201610261918A  NaN      NaN      NaN
C201610270103A  NaN      NaN      NaN
C201610270817A  NaN      NaN      NaN
C201610271153A  NaN      NaN      NaN
C201610271244A  NaN      NaN      NaN
C201610272032A  NaN      NaN      NaN
C201610280041A  NaN      NaN      NaN
C201610280131A  NaN      NaN      NaN
C201610280526A  NaN      NaN      NaN
C201610280728A  NaN      NaN      NaN
C201610280836A  NaN      NaN      NaN
C201610282002A  NaN      NaN      NaN
C201610282157A  NaN      NaN      NaN
C201610290033A  NaN      NaN      NaN
C201610290040A  NaN      NaN      NaN
C201610290321A  NaN      NaN      NaN
C201610290717A  NaN      NaN      NaN
C201610291220A  NaN      NaN      NaN
C201610291812A  NaN      NaN      NaN
C201610292201A  NaN      NaN      NaN
C201610300449A  NaN      NaN      NaN
C201610300640A  NaN      NaN      NaN
C201610301706A  NaN      NaN      NaN
C201610310000A  NaN      NaN      NaN
C201610310020A  NaN      NaN      NaN
C201610310205A  NaN      NaN      NaN
C201610310402A  NaN      NaN      NaN
C201610310544A  NaN      NaN      NaN
C201610311115A  NaN      NaN      NaN
C201610311602A  NaN      NaN      NaN
C201611010424A  NaN      NaN      NaN
C201611010756A  NaN      NaN      NaN
C201611010827A  NaN      NaN      NaN
C201611011903A  NaN      NaN      NaN
C201611012231A  NaN      NaN      NaN
C201611012329B  NaN      NaN      NaN
C201611020344A  NaN      NaN      NaN
C201611020721A  NaN      NaN      NaN
C201611021615A  NaN      NaN      NaN
C201611030035A  NaN      NaN      NaN
C201611030459A  NaN      NaN      NaN
C201611031244A  NaN      NaN      NaN
C201611031521A  NaN      NaN      NaN
C201611040545A  NaN      NaN      NaN
C201611041620A  NaN      NaN      NaN
C201611050354A  NaN      NaN      NaN
C201611050546A  NaN      NaN      NaN
C201611051318A  NaN      NaN      NaN
C201611051410A  NaN      NaN      NaN
C201611051619A  NaN      NaN      NaN
C201611061458A  NaN      NaN      NaN
C201611062025A  NaN      NaN      NaN
C201611070144A  NaN      NaN      NaN
C201611070350A  NaN      NaN      NaN
C201611072131A  NaN      NaN      NaN
C201611080058A  NaN      NaN      NaN
C201611080202A  NaN      NaN      NaN
C201611080309A  NaN      NaN      NaN
C201611080352A  NaN      NaN      NaN
C201611080427A  NaN      NaN      NaN
C201611080455A  NaN      NaN      NaN
C201611080626A  NaN      NaN      NaN
C201611080732A  NaN      NaN      NaN
C201611080911A  NaN      NaN      NaN
C201611090432A  NaN      NaN      NaN
C201611090815A  NaN      NaN      NaN
C201611091450A  NaN      NaN      NaN
C201611092220A  NaN      NaN      NaN
C201611100711A  NaN      NaN      NaN
C201611100738A  NaN      NaN      NaN
C201611100949A  NaN      NaN      NaN
C201611101149A  NaN      NaN      NaN
C201611101224A  NaN      NaN      NaN
C201611101354A  NaN      NaN      NaN
C201611101419A  NaN      NaN      NaN
C201611101932A  NaN      NaN      NaN
C201611110245A  NaN      NaN      NaN
C201611110813A  NaN      NaN      NaN
C201611111453A  NaN      NaN      NaN
C201611112142A  NaN      NaN      NaN
C201611112225A  NaN      NaN      NaN
C201611120215A  NaN      NaN      NaN
C201611121615A  NaN      NaN      NaN
C201611122008A  NaN      NaN      NaN
C201611122152A  NaN      NaN      NaN
C201611130101A  NaN      NaN      NaN
C201611130515A  NaN      NaN      NaN
C201611131102A  NaN      NaN      NaN
C201611131928A  NaN      NaN      NaN
C201611132219A  NaN      NaN      NaN
C201611140034A  NaN      NaN      NaN
C201611140212A  NaN      NaN      NaN
C201611140642A  NaN      NaN      NaN
C201611140647A  NaN      NaN      NaN
C201611140721A  NaN      NaN      NaN
C201611140949A  NaN      NaN      NaN
C201611141116A  NaN      NaN      NaN
C201611141615A  NaN      NaN      NaN
C201611141917A  NaN      NaN      NaN
C201611142254A  NaN      NaN      NaN
C201611150134A  NaN      NaN      NaN
C201611150412A  NaN      NaN      NaN
C201611150509A  NaN      NaN      NaN
C201611150537A  NaN      NaN      NaN
C201611150630A  NaN      NaN      NaN
C201611151231A  NaN      NaN      NaN
C201611151349A  NaN      NaN      NaN
C201611151602A  NaN      NaN      NaN
C201611151953A  NaN      NaN      NaN
C201611152347B  NaN      NaN      NaN
C201611160030A  NaN      NaN      NaN
C201611160344A  NaN      NaN      NaN
C201611160733A  NaN      NaN      NaN
C201611161510A  NaN      NaN      NaN
C201611170615A  NaN      NaN      NaN
C201611171429A  NaN      NaN      NaN
C201611171656A  NaN      NaN      NaN
C201611172145A  NaN      NaN      NaN
C201611180614A  NaN      NaN      NaN
C201611180742A  NaN      NaN      NaN
C201611181422A  NaN      NaN      NaN
C201611181920A  NaN      NaN      NaN
C201611182054A  NaN      NaN      NaN
C201611182322A  NaN      NaN      NaN
C201611190248A  NaN      NaN      NaN
C201611190925A  NaN      NaN      NaN
C201611191200A  NaN      NaN      NaN
C201611191247A  NaN      NaN      NaN
C201611192348A  NaN      NaN      NaN
C201611200058A  NaN      NaN      NaN
C201611200144A  NaN      NaN      NaN
C201611200204A  NaN      NaN      NaN
C201611200208A  NaN      NaN      NaN
C201611200233A  NaN      NaN      NaN
C201611200319A  NaN      NaN      NaN
C201611200808A  NaN      NaN      NaN
C201611200908A  NaN      NaN      NaN
C201611201045A  NaN      NaN      NaN
C201611201353A  NaN      NaN      NaN
C201611201441A  NaN      NaN      NaN
C201611201510A  NaN      NaN      NaN
C201611201529A  NaN      NaN      NaN
C201611201756A  NaN      NaN      NaN
C201611202057A  NaN      NaN      NaN
C201611210811A  NaN      NaN      NaN
C201611210831A  NaN      NaN      NaN
C201611210949A  NaN      NaN      NaN
C201611211034A  NaN      NaN      NaN
C201611211300A  NaN      NaN      NaN
C201611211839A  NaN      NaN      NaN
C201611212059A  NaN      NaN      NaN
C201611220019A  NaN      NaN      NaN
C201611220513A  NaN      NaN      NaN
C201611221137A  NaN      NaN      NaN
C201611221403A  NaN      NaN      NaN
C201611221515A  NaN      NaN      NaN
C201611221753A  NaN      NaN      NaN
C201611221938A  NaN      NaN      NaN
C201611230713A  NaN      NaN      NaN
C201611230959A  NaN      NaN      NaN
C201611231158A  NaN      NaN      NaN
C201611231717A  NaN      NaN      NaN
C201611232030A  NaN      NaN      NaN
C201611232123A  NaN      NaN      NaN
C201611240928A  NaN      NaN      NaN
C201611241037A  NaN      NaN      NaN
C201611241315A  NaN      NaN      NaN
C201611241843A  NaN      NaN      NaN
C201611242231A  NaN      NaN      NaN
C201611250406A  NaN      NaN      NaN
C201611250726A  NaN      NaN      NaN
C201611251424A  NaN      NaN      NaN
C201611260239A  NaN      NaN      NaN
C201611260721A  NaN      NaN      NaN
C201611260807A  NaN      NaN      NaN
C201611260923A  NaN      NaN      NaN
C201611261005A  NaN      NaN      NaN
C201611261816A  NaN      NaN      NaN
C201611261908A  NaN      NaN      NaN
C201611262030A  NaN      NaN      NaN
C201611270611A  NaN      NaN      NaN
C201611270912A  NaN      NaN      NaN
C201611271613A  NaN      NaN      NaN
C201611272208A  NaN      NaN      NaN
C201611272335A  NaN      NaN      NaN
C201611280412A  NaN      NaN      NaN
C201611280434A  NaN      NaN      NaN
C201611280807A  NaN      NaN      NaN
C201611280817A  NaN      NaN      NaN
C201611281126A  NaN      NaN      NaN
C201611282142A  NaN      NaN      NaN
C201611290122A  NaN      NaN      NaN
C201611290353A  NaN      NaN      NaN
C201611290702A  NaN      NaN      NaN
C201611290709A  NaN      NaN      NaN
C201611291807A  NaN      NaN      NaN
C201611291826A  NaN      NaN      NaN
C201611291854A  NaN      NaN      NaN
C201611291937A  NaN      NaN      NaN
C201611292010A  NaN      NaN      NaN
C201611300229A  NaN      NaN      NaN
C201611300242A  NaN      NaN      NaN
C201611301204A  NaN      NaN      NaN
C201611301314A  NaN      NaN      NaN
C201611302144A  NaN      NaN      NaN
C201612010025A  NaN      NaN      NaN
C201612010223A  NaN      NaN      NaN
C201612010233A  NaN      NaN      NaN
C201612010239A  NaN      NaN      NaN
C201612010516A  NaN      NaN      NaN
C201612010556A  NaN      NaN      NaN
C201612011652A  NaN      NaN      NaN
C201612012051A  NaN      NaN      NaN
C201612012240A  NaN      NaN      NaN
C201612020014A  NaN      NaN      NaN
C201612020304A  NaN      NaN      NaN
C201612020911A  NaN      NaN      NaN
C201612021357A  NaN      NaN      NaN
C201612021947A  NaN      NaN      NaN
C201612030923A  NaN      NaN      NaN
C201612031411A  NaN      NaN      NaN
C201612032248A  NaN      NaN      NaN
C201612032257A  NaN      NaN      NaN
C201612040131A  NaN      NaN      NaN
C201612040315A  NaN      NaN      NaN
C201612040441A  NaN      NaN      NaN
C201612040524A  NaN      NaN      NaN
C201612040559A  NaN      NaN      NaN
C201612040705A  NaN      NaN      NaN
C201612041015A  NaN      NaN      NaN
C201612041018A  NaN      NaN      NaN
C201612041414A  NaN      NaN      NaN
C201612042134A  NaN      NaN      NaN
C201612042148A  NaN      NaN      NaN
C201612050113A  NaN      NaN      NaN
C201612051022A  NaN      NaN      NaN
C201612051134A  NaN      NaN      NaN
C201612051806A  NaN      NaN      NaN
C201612060121A  NaN      NaN      NaN
C201612060451A  NaN      NaN      NaN
C201612062142A  NaN      NaN      NaN
C201612062203A  NaN      NaN      NaN
C201612071320A  NaN      NaN      NaN
C201612071342A  NaN      NaN      NaN
C201612080007A  NaN      NaN      NaN
C201612080318A  NaN      NaN      NaN
C201612080515A  NaN      NaN      NaN
C201612080815A  NaN      NaN      NaN
C201612080834A  NaN      NaN      NaN
C201612081450A  NaN      NaN      NaN
C201612081738A  NaN      NaN      NaN
C201612082156A  NaN      NaN      NaN
C201612090910A  NaN      NaN      NaN
C201612090943A  NaN      NaN      NaN
C201612091006A  NaN      NaN      NaN
C201612091250A  NaN      NaN      NaN
C201612091309A  NaN      NaN      NaN
C201612091724A  NaN      NaN      NaN
C201612091755A  NaN      NaN      NaN
C201612091813A  NaN      NaN      NaN
C201612091910A  NaN      NaN      NaN
C201612091943A  NaN      NaN      NaN
C201612092138A  NaN      NaN      NaN
C201612092339A  NaN      NaN      NaN
C201612100238A  NaN      NaN      NaN
C201612100245A  NaN      NaN      NaN
C201612100328A  NaN      NaN      NaN
C201612100726A  NaN      NaN      NaN
C201612101217A  NaN      NaN      NaN
C201612101248A  NaN      NaN      NaN
C201612101322A  NaN      NaN      NaN
C201612101624A  NaN      NaN      NaN
C201612110250A  NaN      NaN      NaN
C201612110623A  NaN      NaN      NaN
C201612110932A  NaN      NaN      NaN
C201612111345A  NaN      NaN      NaN
C201612111433A  NaN      NaN      NaN
C201612111655A  NaN      NaN      NaN
C201612111726A  NaN      NaN      NaN
C201612120015A  NaN      NaN      NaN
C201612120140A  NaN      NaN      NaN
C201612120201A  NaN      NaN      NaN
C201612120231A  NaN      NaN      NaN
C201612120256A  NaN      NaN      NaN
C201612121553A  NaN      NaN      NaN
C201612130024A  NaN      NaN      NaN
C201612130346A  NaN      NaN      NaN
C201612130454A  NaN      NaN      NaN
C201612130519A  NaN      NaN      NaN
C201612130538A  NaN      NaN      NaN
C201612130946A  NaN      NaN      NaN
C201612131327A  NaN      NaN      NaN
C201612132351A  NaN      NaN      NaN
C201612140201A  NaN      NaN      NaN
C201612140324A  NaN      NaN      NaN
C201612140814A  NaN      NaN      NaN
C201612140916A  NaN      NaN      NaN
C201612141343A  NaN      NaN      NaN
C201612141457A  NaN      NaN      NaN
C201612141634A  NaN      NaN      NaN
C201612141641A  NaN      NaN      NaN
C201612142114A  NaN      NaN      NaN
C201612142126A  NaN      NaN      NaN
C201612150018A  NaN      NaN      NaN
C201612150106A  NaN      NaN      NaN
C201612150129A  NaN      NaN      NaN
C201612151414A  NaN      NaN      NaN
C201612151634A  NaN      NaN      NaN
C201612151941A  NaN      NaN      NaN
C201612152223A  NaN      NaN      NaN
C201612160034A  NaN      NaN      NaN
C201612160350A  NaN      NaN      NaN
C201612160917A  NaN      NaN      NaN
C201612161134A  NaN      NaN      NaN
C201612162311A  NaN      NaN      NaN
C201612170723A  NaN      NaN      NaN
C201612171051A  NaN      NaN      NaN
C201612171127A  NaN      NaN      NaN
C201612172221A  NaN      NaN      NaN
C201612180224A  NaN      NaN      NaN
C201612180330A  NaN      NaN      NaN
C201612180523A  NaN      NaN      NaN
C201612180546A  NaN      NaN      NaN
C201612180615A  NaN      NaN      NaN
C201612180639A  NaN      NaN      NaN
C201612180947A  NaN      NaN      NaN
C201612180957A  NaN      NaN      NaN
C201612181135A  NaN      NaN      NaN
C201612181249A  NaN      NaN      NaN
C201612181330A  NaN      NaN      NaN
C201612181917A  NaN      NaN      NaN
C201612181924A  NaN      NaN      NaN
C201612181955A  NaN      NaN      NaN
C201612181957A  NaN      NaN      NaN
C201612182207A  NaN      NaN      NaN
C201612182249A  NaN      NaN      NaN
C201612182327A  NaN      NaN      NaN
C201612190250A  NaN      NaN      NaN
C201612190711A  NaN      NaN      NaN
C201612191059A  NaN      NaN      NaN
C201612191105A  NaN      NaN      NaN
C201612191536A  NaN      NaN      NaN
C201612191641A  NaN      NaN      NaN
C201612191654A  NaN      NaN      NaN
C201612192044A  NaN      NaN      NaN
C201612200157A  NaN      NaN      NaN
C201612200421A  NaN      NaN      NaN
C201612200603A  NaN      NaN      NaN
C201612200614A  NaN      NaN      NaN
C201612200811A  NaN      NaN      NaN
C201612200849A  NaN      NaN      NaN
C201612201004A  NaN      NaN      NaN
C201612201049A  NaN      NaN      NaN
C201612201233A  NaN      NaN      NaN
C201612201351A  NaN      NaN      NaN
C201612201444A  NaN      NaN      NaN
C201612201503A  NaN      NaN      NaN
C201612201521A  NaN      NaN      NaN
C201612201716A  NaN      NaN      NaN
C201612201739A  NaN      NaN      NaN
C201612202007A  NaN      NaN      NaN
C201612202008A  NaN      NaN      NaN
C201612202322A  NaN      NaN      NaN
C201612210017A  NaN      NaN      NaN
C201612210828A  NaN      NaN      NaN
C201612211118A  NaN      NaN      NaN
C201612211643A  NaN      NaN      NaN
