cmtcode         zSNR     zSNR     zSNR
C201602070203A  NaN      NaN      NaN
C201602070725A  NaN      NaN      NaN
C201602071912A  NaN      NaN      NaN
C201602071935A  NaN      NaN      NaN
C201602072005A  NaN      NaN      NaN
C201602080019A  NaN      NaN      NaN
C201602081205A  NaN      NaN      NaN
C201602081619A  NaN      NaN      NaN
C201602082039A  NaN      NaN      NaN
C201602082059A  NaN      NaN      NaN
C201602082250A  NaN      NaN      NaN
C201602082303A  NaN      NaN      NaN
C201602082326A  NaN      NaN      NaN
C201602090039A  NaN      NaN      NaN
C201602090047A  NaN      NaN      NaN
C201602090719A  NaN      NaN      NaN
C201602091212A  NaN      NaN      NaN
C201602091212B  NaN      NaN      NaN
C201602091228A  NaN      NaN      NaN
C201602091350A  NaN      NaN      NaN
C201602100033A  NaN      NaN      NaN
C201602100835A  NaN      NaN      NaN
C201602101510A  NaN      NaN      NaN
C201602101543A  NaN      NaN      NaN
C201602110702A  NaN      NaN      NaN
C201602111700A  NaN      NaN      NaN
C201602121002A  NaN      NaN      NaN
C201602121519A  NaN      NaN      NaN
C201602121919A  NaN      NaN      NaN
C201602122056A  NaN      NaN      NaN
C201602130344A  NaN      NaN      NaN
C201602130346A  NaN      NaN      NaN
C201602131321A  NaN      NaN      NaN
C201602131707A  NaN      NaN      NaN
C201602132014A  NaN      NaN      NaN
C201602132031A  NaN      NaN      NaN
C201602140013A  NaN      NaN      NaN
C201602140710A  NaN      NaN      NaN
C201602141526A  NaN      NaN      NaN
C201602150812A  NaN      NaN      NaN
C201602151502A  NaN      NaN      NaN
C201602151855A  NaN      NaN      NaN
C201602151928A  NaN      NaN      NaN
C201602152153A  NaN      NaN      NaN
C201602160426A  NaN      NaN      NaN
C201602161046A  NaN      NaN      NaN
C201602161201A  NaN      NaN      NaN
C201602161505A  NaN      NaN      NaN
C201602161907A  NaN      NaN      NaN
C201602162304A  NaN      NaN      NaN
C201602162348A  NaN      NaN      NaN
C201602170254A  NaN      NaN      NaN
C201602170744A  NaN      NaN      NaN
C201602170820A  NaN      NaN      NaN
C201602171548A  NaN      NaN      NaN
C201602171726A  NaN      NaN      NaN
C201602180107A  NaN      NaN      NaN
C201602180109A  NaN      NaN      NaN
C201602181736A  NaN      NaN      NaN
C201602181749A  NaN      NaN      NaN
C201602182047A  NaN      NaN      NaN
C201602190516A  NaN      NaN      NaN
C201602190533A  NaN      NaN      NaN
C201602190930A  NaN      NaN      NaN
C201602191313A  NaN      NaN      NaN
C201602192150A  NaN      NaN      NaN
C201602200205A  NaN      NaN      NaN
C201602201108A  NaN      NaN      NaN
C201602201231A  NaN      NaN      NaN
C201602201233A  NaN      NaN      NaN
C201602201248A  NaN      NaN      NaN
C201602201322A  NaN      NaN      NaN
C201602201350B  NaN      NaN      NaN
C201602201358A  NaN      NaN      NaN
C201602201454A  NaN      NaN      NaN
C201602201459A  NaN      NaN      NaN
C201602201551A  NaN      NaN      NaN
C201602201648A  NaN      NaN      NaN
C201602201748A  NaN      NaN      NaN
C201602202242A  NaN      NaN      NaN
C201602210104A  NaN      NaN      NaN
C201602210126A  NaN      NaN      NaN
C201602210226A  NaN      NaN      NaN
C201602210912A  NaN      NaN      NaN
C201602211103A  NaN      NaN      NaN
C201602211337A  NaN      NaN      NaN
C201602211840A  NaN      NaN      NaN
C201602212126A  NaN      NaN      NaN
C201602220346A  NaN      NaN      NaN
C201602220637A  NaN      NaN      NaN
C201602222029A  NaN      NaN      NaN
C201602222115A  NaN      NaN      NaN
C201602230033A  NaN      NaN      NaN
C201602231808A  NaN      NaN      NaN
C201602232047A  NaN      NaN      NaN
C201602240002A  NaN      NaN      NaN
C201602241936A  NaN      NaN      NaN
C201602242109A  NaN      NaN      NaN
C201602251053A  NaN      NaN      NaN
C201602251217A  NaN      NaN      NaN
C201602251535A  NaN      NaN      NaN
C201602252239A  NaN      NaN      NaN
C201602252335A  NaN      NaN      NaN
C201602260149A  NaN      NaN      NaN
C201602260447A  NaN      NaN      NaN
C201602260852A  NaN      NaN      NaN
C201602270241A  NaN      NaN      NaN
C201602270254A  NaN      NaN      NaN
C201602270320A  NaN      NaN      NaN
C201602270852A  NaN      NaN      NaN
C201602272129A  NaN      NaN      NaN
C201602280906A  NaN      NaN      NaN
C201602281511A  NaN      NaN      NaN
C201602281809A  NaN      NaN      NaN
C201602281824A  NaN      NaN      NaN
C201602290354A  NaN      NaN      NaN
C201602290811A  NaN      NaN      NaN
C201602291947A  NaN      NaN      NaN
C201602292133A  NaN      NaN      NaN
C201602292350A  NaN      NaN      NaN
C201603010108A  NaN      NaN      NaN
C201603010711A  NaN      NaN      NaN
C201603010800A  NaN      NaN      NaN
C201603010850A  NaN      NaN      NaN
